,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
94,2024-10-20T19:44:54.717Z,55.4314,112.2591,10.0,4.4,mb,42.0,99.0,4.237,1.0,us,us6000nzx5,2024-10-21T17:22:53.040Z,"87 km SSE of Novyy Uoyan, Russia",earthquake,9.19,1.904,0.098,30.0,reviewed,us,us
96,2024-10-20T18:05:25.698Z,-4.1593,152.7526,71.404,4.4,mb,21.0,112.0,0.588,0.43,us,us6000nzwp,2024-10-20T18:29:49.040Z,"57 km ENE of Kokopo, Papua New Guinea",earthquake,11.15,8.377,0.138,15.0,reviewed,us,us
98,2024-10-20T17:44:50.891Z,39.4263,73.644,10.0,4.6,mb,59.0,86.0,1.349,1.22,us,us6000nzwl,2024-10-20T18:11:35.040Z,"100 km S of Gul’cha, Kyrgyzstan",earthquake,5.15,1.836,0.077,51.0,reviewed,us,us
99,2024-10-20T17:18:40.855Z,-23.9054,-66.5492,208.36,4.4,mb,19.0,96.0,3.024,1.18,us,us6000nzwk,2024-10-21T17:02:28.040Z,"41 km NW of San Antonio de los Cobres, Argentina",earthquake,8.87,13.206,0.202,7.0,reviewed,us,us
100,2024-10-20T16:13:51.611Z,5.3286,94.3379,63.795,4.6,mb,44.0,170.0,2.6,0.74,us,us6000nzwe,2024-10-20T16:58:00.040Z,"112 km WSW of Banda Aceh, Indonesia",earthquake,10.87,8.33,0.078,49.0,reviewed,us,us
103,2024-10-20T13:56:17.610Z,-23.0782,-66.3942,230.608,4.6,mb,25.0,117.0,2.927,0.96,us,us6000nzw3,2024-10-20T15:51:14.040Z,"74 km WNW of El Aguilar, Argentina",earthquake,5.69,10.164,0.147,14.0,reviewed,us,us
106,2024-10-20T12:31:07.482Z,-21.9112,-179.5505,588.987,5.4,mb,72.0,58.0,4.719,0.81,us,us6000nzvu,2024-10-21T13:59:24.040Z,Fiji region,earthquake,11.14,7.921,0.024,595.0,reviewed,us,us
109,2024-10-20T10:06:51.149Z,-24.6004,-177.0109,149.158,4.8,mb,54.0,107.0,4.698,1.06,us,us6000nzve,2024-10-20T11:47:02.040Z,south of the Fiji Islands,earthquake,11.42,6.776,0.044,161.0,reviewed,us,us
110,2024-10-20T09:08:59.863Z,-5.5246,154.2674,126.454,4.9,mb,66.0,36.0,2.48,1.01,us,us6000nzv6,2024-10-20T09:28:17.040Z,"160 km WNW of Panguna, Papua New Guinea",earthquake,9.25,6.854,0.063,79.0,reviewed,us,us
112,2024-10-20T08:02:37.788Z,-29.1607,-71.0126,68.604,4.7,mb,53.0,131.0,0.311,0.82,us,us6000nzux,2024-10-20T23:22:21.836Z,"69 km SSW of Vallenar, Chile",earthquake,5.78,4.257,0.053,108.0,reviewed,us,us
115,2024-10-20T05:24:49.577Z,0.2396,121.0356,109.621,4.6,mb,33.0,118.0,0.902,0.66,us,us6000nzu9,2024-10-20T06:27:44.040Z,"181 km NE of Palu, Indonesia",earthquake,7.56,6.262,0.122,20.0,reviewed,us,us
116,2024-10-20T05:13:20.992Z,-24.2801,-179.8849,538.798,4.3,mb,15.0,144.0,5.263,0.58,us,us6000nzuc,2024-10-20T06:30:49.040Z,south of the Fiji Islands,earthquake,25.84,26.675,0.153,12.0,reviewed,us,us
117,2024-10-20T04:44:43.884Z,3.5515,127.7931,87.079,4.8,mb,47.0,109.0,2.794,0.73,us,us6000nzu5,2024-10-20T05:03:54.040Z,"203 km N of Tobelo, Indonesia",earthquake,10.5,6.139,0.097,35.0,reviewed,us,us
