,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
385,2024-10-12T23:30:25.084Z,40.7337,84.3408,10.0,4.6,mb,31.0,109.0,4.449,1.17,us,us6000nycl,2024-10-12T23:48:07.040Z,"160 km SE of Kuqa, China",earthquake,6.12,1.92,0.158,13.0,reviewed,us,us
386,2024-10-12T22:42:29.084Z,-7.6191,128.4075,101.05,5.0,mb,57.0,72.0,5.843,0.83,us,us6000nycb,2024-10-12T23:02:51.040Z,"184 km ENE of Lospalos, Timor Leste",earthquake,10.82,6.818,0.079,51.0,reviewed,us,us
388,2024-10-12T21:53:01.095Z,17.271,-101.1611,10.0,4.9,mww,138.0,164.0,2.364,1.4,us,us6000nyc2,2024-10-14T04:06:04.557Z,"14 km WSW of Papanoa, Mexico",earthquake,8.67,1.914,0.057,30.0,reviewed,us,us
389,2024-10-12T20:09:29.350Z,18.4523,-68.6593,122.0,4.05,md,25.0,164.0,0.9905,0.34,pr,pr2024286001,2024-10-12T21:43:46.040Z,"2 km NNE of San Rafael del Yuma, Dominican Republic",earthquake,2.22,1.53,0.14,17.0,reviewed,pr,pr
392,2024-10-12T19:10:28.675Z,38.3647,22.2574,10.0,4.3,mb,48.0,88.0,0.658,1.03,us,us6000nybg,2024-10-18T07:39:21.333Z,"10 km W of Galaxídhion, Greece",earthquake,5.05,1.881,0.129,18.0,reviewed,us,us
393,2024-10-12T18:50:30.698Z,35.961,139.9069,56.538,4.9,mb,70.0,129.0,1.49,0.59,us,us6000nybc,2024-10-14T19:03:25.403Z,"3 km ENE of Noda, Japan",earthquake,3.59,7.1,0.075,58.0,reviewed,us,us
394,2024-10-12T18:43:55.647Z,-6.6061,149.4498,51.505,4.1,mb,27.0,126.0,3.588,0.79,us,us6000nyba,2024-10-12T22:17:26.040Z,"45 km SSW of Kandrian, Papua New Guinea",earthquake,6.1,7.073,0.117,26.0,reviewed,us,us
396,2024-10-12T18:17:50.994Z,10.6148,-85.9468,56.446,4.9,mb,170.0,143.0,0.659,0.62,us,us6000nyb6,2024-10-14T18:47:12.040Z,"34 km WNW of Sardinal, Costa Rica",earthquake,5.67,7.095,0.03,355.0,reviewed,us,us
397,2024-10-12T18:12:08.894Z,10.471,-86.0885,49.173,4.6,mb,105.0,100.0,0.846,0.59,us,us6000nyb0,2024-10-12T21:48:23.941Z,"33 km NW of Tamarindo, Costa Rica",earthquake,6.11,8.946,0.05,121.0,reviewed,us,us
398,2024-10-12T17:43:44.471Z,10.487,-86.1712,16.0,6.2,mww,225.0,32.0,0.912,0.91,us,us6000nyau,2024-10-15T09:35:15.520Z,"41 km WNW of Tamarindo, Costa Rica",earthquake,5.46,1.708,0.03,110.0,reviewed,us,us
399,2024-10-12T17:28:28.066Z,28.3481,142.7391,10.0,4.5,mb,35.0,131.0,1.341,0.36,us,us6000nyat,2024-10-12T21:59:15.040Z,"Bonin Islands, Japan region",earthquake,9.46,1.899,0.113,26.0,reviewed,us,us
403,2024-10-12T15:44:30.419Z,-12.3624,166.4556,62.12,4.6,mb,40.0,63.0,7.021,0.59,us,us6000nyag,2024-10-12T20:29:39.040Z,"194 km SSE of Lata, Solomon Islands",earthquake,10.93,7.999,0.097,34.0,reviewed,us,us
404,2024-10-12T15:44:17.336Z,-25.1398,178.4058,580.169,4.6,mb,34.0,81.0,5.231,0.97,us,us6000nyaf,2024-10-12T16:17:45.040Z,south of the Fiji Islands,earthquake,15.64,10.972,0.091,38.0,reviewed,us,us
405,2024-10-12T12:55:15.197Z,-16.9047,-173.465,44.289,4.5,mb,21.0,126.0,3.392,0.86,us,us6000nya7,2024-10-12T13:29:55.040Z,"110 km SSE of Hihifo, Tonga",earthquake,11.06,8.702,0.136,16.0,reviewed,us,us
409,2024-10-12T12:26:30.046Z,33.4756,142.5706,10.0,4.9,mb,43.0,144.0,2.337,0.75,us,us6000ny9z,2024-10-12T13:07:46.040Z,"278 km SE of Katsuura, Japan",earthquake,9.67,1.91,0.099,32.0,reviewed,us,us
410,2024-10-12T11:39:45.840Z,14.8076,108.2943,17.917,4.4,mb,17.0,89.0,4.452,0.92,us,us6000ny9y,2024-10-12T12:40:44.040Z,"58 km NNE of Kon Tum, Vietnam",earthquake,10.46,5.151,0.179,9.0,reviewed,us,us
412,2024-10-12T08:55:01.015Z,-15.4936,-73.052,91.4,4.2,mb,24.0,134.0,3.862,0.77,us,us6000ny9j,2024-10-13T04:50:39.040Z,"15 km WNW of Chichas, Peru",earthquake,9.94,10.284,0.121,19.0,reviewed,us,us
413,2024-10-12T07:57:27.142Z,56.9752,-154.7082,2.9,4.4,ml,,,,0.77,ak,ak024d547kc3,2024-10-14T10:53:12.819Z,"32 km W of Akhiok, Alaska",earthquake,,0.2,,,reviewed,ak,ak
415,2024-10-12T07:18:52.462Z,13.2989,-91.2732,35.0,4.3,mb,37.0,225.0,1.438,1.06,us,us6000ny97,2024-10-13T04:44:48.040Z,"84 km SW of Puerto San José, Guatemala",earthquake,8.14,2.004,0.094,32.0,reviewed,us,us
417,2024-10-12T06:32:35.178Z,-24.9437,70.012,10.0,4.9,mb,52.0,58.0,14.337,0.53,us,us6000ny95,2024-10-12T06:50:49.040Z,Mid-Indian Ridge,earthquake,11.43,1.874,0.09,39.0,reviewed,us,us
420,2024-10-12T04:19:43.341Z,-18.2055,173.1592,10.0,5.0,mb,39.0,89.0,4.68,1.18,us,us6000ny8q,2024-10-12T04:48:26.040Z,Fiji region,earthquake,10.46,1.85,0.063,82.0,reviewed,us,us
421,2024-10-12T03:50:37.285Z,55.2547,162.9232,10.0,5.3,mb,79.0,116.0,15.099,0.89,us,us6000ny8n,2024-10-12T04:10:00.040Z,"111 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.71,1.873,0.028,421.0,reviewed,us,us
422,2024-10-12T03:43:39.923Z,-23.671,-179.4649,527.084,4.5,mb,28.0,85.0,4.752,0.92,us,us6000ny8m,2024-10-12T04:32:53.040Z,south of the Fiji Islands,earthquake,16.42,9.266,0.139,17.0,reviewed,us,us
423,2024-10-12T03:43:10.412Z,-56.291,-26.7113,43.302,4.9,mb,32.0,124.0,5.937,0.91,us,us6000ny8l,2024-10-12T04:20:01.040Z,South Sandwich Islands region,earthquake,13.09,5.487,0.099,33.0,reviewed,us,us
429,2024-10-12T01:37:37.894Z,-4.7845,101.707,48.911,4.7,mb,33.0,167.0,6.873,0.96,us,us6000ny82,2024-10-12T01:58:35.040Z,"125 km SSW of Bengkulu, Indonesia",earthquake,11.53,8.774,0.104,28.0,reviewed,us,us
430,2024-10-12T01:11:57.763Z,-0.121,125.0235,48.426,5.2,mb,73.0,76.0,7.165,0.84,us,us6000ny7w,2024-10-12T01:32:53.040Z,"90 km SE of Modisi, Indonesia",earthquake,9.23,5.342,0.061,88.0,reviewed,us,us
431,2024-10-12T01:11:42.587Z,2.206,98.0418,83.98,4.5,mb,29.0,109.0,1.005,0.52,us,us6000ny7x,2024-10-12T01:42:03.040Z,"29 km ESE of Singkil, Indonesia",earthquake,12.81,8.26,0.115,22.0,reviewed,us,us
432,2024-10-12T01:06:08.222Z,-33.2558,-177.7155,10.0,5.4,mww,47.0,42.0,3.985,0.85,us,us6000ny7s,2024-10-13T01:09:45.781Z,south of the Kermadec Islands,earthquake,12.53,1.724,0.083,14.0,reviewed,us,us
434,2024-10-12T00:18:24.629Z,55.3507,163.0619,10.0,4.8,mb,98.0,132.0,3.486,0.91,us,us6000ny7m,2024-10-12T00:38:01.040Z,"104 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,11.31,1.878,0.05,125.0,reviewed,us,us
435,2024-10-11T22:56:51.082Z,38.4004,73.0764,108.631,4.2,mb,30.0,122.0,1.466,0.89,us,us6000ny75,2024-10-11T23:21:51.040Z,"81 km WNW of Murghob, Tajikistan",earthquake,4.66,11.314,0.186,8.0,reviewed,us,us
436,2024-10-11T22:35:20.266Z,37.642,140.9046,102.759,4.6,mb,35.0,166.0,2.419,0.59,us,us6000ny74,2024-10-12T05:27:41.345Z,"6 km WNW of Minami-Sōma, Japan",earthquake,10.24,4.225,0.125,19.0,reviewed,us,us
439,2024-10-11T20:40:33.654Z,10.5348,-86.1604,52.464,4.5,mb,92.0,186.0,0.884,0.84,us,us6000ny6e,2024-10-12T20:28:04.040Z,"43 km NW of Tamarindo, Costa Rica",earthquake,6.29,9.7,0.054,101.0,reviewed,us,us
441,2024-10-11T19:17:33.460Z,62.7563,-148.9423,71.0,4.5,ml,,,,0.7,ak,ak024d3nkv0i,2024-10-14T10:57:37.261Z,"68 km ENE of Chase, Alaska",earthquake,,0.2,,,reviewed,ak,ak
445,2024-10-11T18:05:13.281Z,-58.2922,-25.15,22.339,5.0,mb,95.0,45.0,7.477,0.65,us,us6000ny56,2024-10-11T18:36:43.040Z,South Sandwich Islands region,earthquake,10.88,3.868,0.07,71.0,reviewed,us,us
447,2024-10-11T16:07:25.697Z,36.8136,71.4076,177.247,4.2,mb,26.0,106.0,2.17,1.09,us,us6000ny4m,2024-10-12T17:12:47.040Z,"18 km NW of Ashkāsham, Afghanistan",earthquake,9.47,8.251,0.176,9.0,reviewed,us,us
448,2024-10-11T15:40:45.138Z,17.5158,-83.2656,10.0,4.7,mww,177.0,28.0,4.506,0.64,us,us6000ny3q,2024-10-12T17:07:01.040Z,"218 km NNE of Barra Patuca, Honduras",earthquake,7.07,1.864,0.065,23.0,reviewed,us,us
449,2024-10-11T15:26:07.034Z,17.6205,-83.1203,10.0,4.4,mb,132.0,58.0,5.34,0.62,us,us6000ny3p,2024-10-12T16:38:36.040Z,"236 km NNE of Barra Patuca, Honduras",earthquake,7.88,1.91,0.049,125.0,reviewed,us,us
450,2024-10-11T14:55:15.929Z,-28.4011,-69.8252,107.125,4.3,mwr,40.0,48.0,0.98,1.18,us,us6000ny3k,2024-10-11T15:27:19.040Z,"93 km ENE of Vallenar, Chile",earthquake,4.47,5.46,0.078,16.0,reviewed,us,us
452,2024-10-11T13:27:52.194Z,15.32,-90.8582,4.767,4.2,mwr,39.0,118.0,0.684,0.64,us,us6000ny2n,2024-10-11T13:50:25.040Z,"3 km SSE of Uspantán, Guatemala",earthquake,2.65,5.321,0.075,17.0,reviewed,us,us
453,2024-10-11T12:54:17.034Z,55.2529,163.0569,31.066,4.5,mb,45.0,124.0,3.422,1.01,us,us6000ny2k,2024-10-11T13:29:43.040Z,"114 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,12.03,6.244,0.085,40.0,reviewed,us,us
454,2024-10-11T12:52:08.932Z,23.6899,121.4807,12.232,4.7,mb,39.0,88.0,0.341,0.78,us,us6000ny2j,2024-10-12T05:47:23.040Z,"34 km SSW of Hualien City, Taiwan",earthquake,2.57,4.27,0.108,26.0,reviewed,us,us
460,2024-10-11T09:26:47.349Z,-5.6469,149.36,160.789,4.9,mb,41.0,76.0,3.145,0.75,us,us6000ny1w,2024-10-11T09:48:24.040Z,"65 km NNW of Kandrian, Papua New Guinea",earthquake,8.19,3.23,0.082,47.0,reviewed,us,us
466,2024-10-11T07:16:41.089Z,42.6543,31.3671,10.0,4.8,mww,87.0,30.0,2.075,0.65,us,us6000ny1h,2024-10-14T10:49:47.552Z,"131 km NW of Amasra, Turkey",earthquake,5.72,1.828,0.051,37.0,reviewed,us,us
467,2024-10-11T07:01:36.197Z,-18.0644,-174.8764,246.932,4.3,mb,25.0,88.0,3.296,0.82,us,us6000ny1g,2024-10-11T08:56:52.040Z,"114 km NW of Neiafu, Tonga",earthquake,10.92,9.995,0.126,18.0,reviewed,us,us
470,2024-10-11T04:40:55.033Z,22.9814,95.8755,10.0,4.9,mb,52.0,91.0,1.978,0.9,us,us6000ny0s,2024-10-11T10:07:59.710Z,"49 km NNE of Shwebo, Myanmar",earthquake,8.48,1.881,0.069,68.0,reviewed,us,us
473,2024-10-11T01:38:07.309Z,5.2616,126.0196,101.695,4.3,mb,28.0,115.0,1.849,0.81,us,us6000ny00,2024-10-11T02:12:04.040Z,"63 km ESE of Sarangani, Philippines",earthquake,9.97,8.879,0.114,24.0,reviewed,us,us
477,2024-10-11T00:39:13.832Z,36.7479,70.9974,189.043,4.1,mb,27.0,108.0,1.982,0.3,us,us6000nxzr,2024-10-11T01:25:41.040Z,"19 km SE of Jurm, Afghanistan",earthquake,10.42,13.978,0.233,5.0,reviewed,us,us
478,2024-10-11T00:16:02.715Z,5.7958,126.5347,103.44,4.9,mb,62.0,87.0,1.582,0.92,us,us6000nxzn,2024-10-11T00:43:37.040Z,"73 km SSE of Pondaguitan, Philippines",earthquake,5.92,6.956,0.055,105.0,reviewed,us,us
479,2024-10-11T00:15:52.277Z,24.1778,124.229,35.0,4.6,mb,67.0,76.0,0.2,0.84,us,us6000nxzm,2024-10-11T01:16:39.040Z,"19 km SSE of Ishigaki, Japan",earthquake,6.46,1.733,0.064,72.0,reviewed,us,us
480,2024-10-10T23:11:24.670Z,-17.9425,-178.6485,547.409,4.4,mb,66.0,49.0,3.649,0.68,us,us6000nxzd,2024-10-11T00:19:08.262Z,"215 km E of Levuka, Fiji",earthquake,12.49,7.255,0.049,118.0,reviewed,us,us
482,2024-10-10T22:23:20.912Z,-33.7555,-178.5458,10.0,4.6,mb,24.0,165.0,4.511,1.18,us,us6000nxz4,2024-10-10T23:32:56.040Z,south of the Kermadec Islands,earthquake,10.09,1.95,0.141,15.0,reviewed,us,us
483,2024-10-10T21:45:53.707Z,-23.5535,-69.3492,69.11,4.3,mb,25.0,72.0,0.868,0.91,us,us6000nxys,2024-10-10T22:48:31.040Z,"107 km E of Antofagasta, Chile",earthquake,7.61,11.318,0.201,7.0,reviewed,us,us
488,2024-10-10T20:37:36.401Z,-16.5045,-174.7115,227.857,4.6,mb,55.0,62.0,3.828,0.92,us,us6000nxy6,2024-10-11T15:05:05.040Z,"115 km WSW of Hihifo, Tonga",earthquake,7.89,6.403,0.055,97.0,reviewed,us,us
489,2024-10-10T18:12:34.393Z,-0.9254,-22.0667,10.0,5.3,mb,72.0,46.0,10.364,0.68,us,us6000nxws,2024-10-11T06:53:18.040Z,central Mid-Atlantic Ridge,earthquake,8.28,1.848,0.041,194.0,reviewed,us,us
490,2024-10-10T17:59:07.540Z,-56.0665,-25.5835,10.0,4.6,mb,17.0,112.0,6.498,0.82,us,us6000ny13,2024-10-11T16:58:27.040Z,South Sandwich Islands region,earthquake,12.77,1.932,0.136,16.0,reviewed,us,us
495,2024-10-10T13:59:50.740Z,37.0185,4.5404,10.0,4.5,mb,32.0,154.0,2.881,0.76,us,us6000nxv3,2024-10-10T15:04:50.005Z,"32 km NE of Arhribs, Algeria",earthquake,8.63,1.929,0.139,15.0,reviewed,us,us
496,2024-10-10T12:40:50.240Z,23.7614,121.517,20.204,4.4,mb,26.0,87.0,0.417,1.12,us,us6000nxtz,2024-10-10T13:54:54.005Z,"25 km SSW of Hualien City, Taiwan",earthquake,5.72,5.904,0.179,9.0,reviewed,us,us
498,2024-10-10T09:44:39.894Z,-47.5338,99.958,10.0,5.4,mww,42.0,58.0,19.604,0.33,us,us6000nxt5,2024-10-11T09:47:54.004Z,southeast Indian Ridge,earthquake,13.12,1.836,0.086,13.0,reviewed,us,us
501,2024-10-10T08:02:58.142Z,5.654,-82.7234,10.0,4.3,mb,24.0,161.0,2.802,0.95,us,us6000nxsq,2024-10-10T09:19:05.005Z,"263 km S of Burica, Panama",earthquake,8.02,1.973,0.154,12.0,reviewed,us,us
503,2024-10-10T07:22:47.025Z,1.9215,127.2259,114.964,4.9,mww,71.0,45.0,1.151,0.76,us,us6000nxsh,2024-10-10T07:40:52.005Z,"89 km WNW of Tobelo, Indonesia",earthquake,7.92,3.85,0.08,15.0,reviewed,us,us
506,2024-10-10T04:51:31.536Z,55.0063,-160.4183,48.808,4.7,mwr,115.0,157.0,0.345,0.91,us,us6000nxr5,2024-10-14T10:44:53.691Z,"37 km S of Sand Point, Alaska",earthquake,3.66,5.329,0.073,18.0,reviewed,us,us
507,2024-10-10T04:46:27.602Z,-37.2944,47.6955,10.0,5.1,mb,47.0,26.0,20.687,0.89,us,us6000nxr6,2024-10-10T05:07:09.005Z,Southwest Indian Ridge,earthquake,11.81,1.848,0.065,76.0,reviewed,us,us
510,2024-10-10T03:13:40.152Z,-24.0966,-67.2109,194.523,4.6,mb,26.0,60.0,2.411,0.57,us,us6000nxqv,2024-10-10T03:31:10.005Z,"91 km W of San Antonio de los Cobres, Argentina",earthquake,4.19,21.218,0.193,8.0,reviewed,us,us
511,2024-10-10T02:33:02.983Z,42.1926,143.3339,48.76,4.6,mb,76.0,158.0,0.221,0.55,us,us6000nxqp,2024-10-10T02:55:05.005Z,"10 km SSE of Hiroo, Japan",earthquake,8.39,5.956,0.054,103.0,reviewed,us,us
515,2024-10-10T01:10:37.834Z,12.0985,93.7474,148.299,4.3,mb,33.0,95.0,1.076,0.76,us,us6000nxqc,2024-10-10T01:41:09.005Z,"119 km ENE of Port Blair, India",earthquake,10.75,8.549,0.122,19.0,reviewed,us,us
516,2024-10-10T00:26:09.121Z,63.4392,-150.0271,3.9,4.3,ml,,,,0.77,ak,ak024d1os5jt,2024-10-10T09:42:05.012Z,"54 km W of Cantwell, Alaska",earthquake,,0.2,,,reviewed,ak,ak
519,2024-10-09T22:57:57.821Z,-3.6882,100.9513,35.0,4.7,mb,49.0,138.0,2.108,0.89,us,us6000nxpk,2024-10-10T01:02:05.554Z,"146 km W of Bengkulu, Indonesia",earthquake,6.92,1.757,0.092,36.0,reviewed,us,us
525,2024-10-09T21:26:44.902Z,-23.2846,-175.9367,35.0,4.7,mb,25.0,115.0,2.104,1.05,us,us6000nxnq,2024-10-09T21:51:39.005Z,"237 km SSW of ‘Ohonua, Tonga",earthquake,11.07,1.895,0.12,21.0,reviewed,us,us
528,2024-10-09T21:18:56.897Z,-8.6696,118.3095,139.881,4.2,mb,19.0,78.0,3.884,0.97,us,us6000nxn8,2024-10-09T21:39:21.005Z,"22 km SW of Dompu, Indonesia",earthquake,9.02,9.984,0.159,11.0,reviewed,us,us
532,2024-10-09T19:57:28.104Z,-31.7198,-178.4643,43.041,5.2,mb,62.0,70.0,2.494,1.17,us,us6000nxmm,2024-10-09T20:20:15.005Z,Kermadec Islands region,earthquake,12.31,6.051,0.071,65.0,reviewed,us,us
536,2024-10-09T17:52:51.562Z,28.0928,105.2507,10.0,4.9,mb,102.0,38.0,7.95,0.42,us,us6000nxlt,2024-10-09T19:09:33.005Z,"19 km WSW of Xuyong, China",earthquake,8.28,1.804,0.048,137.0,reviewed,us,us
537,2024-10-09T17:22:39.058Z,53.2226,159.7783,63.565,4.5,mb,105.0,78.0,0.709,0.87,us,us6000nxld,2024-10-09T17:52:21.005Z,"79 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.31,6.01,0.056,94.0,reviewed,us,us
543,2024-10-09T11:19:41.467Z,37.547,137.4245,10.0,4.6,mb,63.0,59.0,1.178,0.62,us,us6000nxhs,2024-10-09T12:57:45.005Z,"58 km NE of Anamizu, Japan",earthquake,5.69,1.829,0.064,72.0,reviewed,us,us
546,2024-10-09T09:20:20.953Z,13.7179,-91.2142,59.322,4.3,mb,45.0,195.0,1.067,1.03,us,us6000nxhj,2024-10-09T20:15:13.454Z,"43 km SSW of La Gomera, Guatemala",earthquake,7.55,8.957,0.065,68.0,reviewed,us,us
550,2024-10-09T06:50:18.300Z,-33.769,-178.1584,10.0,4.7,mb,25.0,240.0,4.754,1.21,us,us6000nxgy,2024-10-09T08:15:05.005Z,south of the Kermadec Islands,earthquake,13.72,2.002,0.133,17.0,reviewed,us,us
554,2024-10-09T05:58:11.837Z,14.6554,-92.3483,58.024,4.3,mb,15.0,195.0,0.842,0.6,us,us6000nxgm,2024-10-10T04:40:07.005Z,"7 km SSW of Tinajas 1ra. Sección, Mexico",earthquake,7.91,17.837,0.217,6.0,reviewed,us,us
556,2024-10-09T04:41:07.018Z,51.8996,-170.7951,35.0,5.0,mww,130.0,71.0,1.041,0.93,us,us6000nxg5,2024-10-23T04:51:12.671Z,"175 km SW of Nikolski, Alaska",earthquake,5.75,1.845,0.103,9.0,reviewed,us,us
570,2024-10-08T23:37:00.030Z,-6.9953,154.9327,74.526,4.5,mb,45.0,89.0,5.525,0.97,us,us6000nxfa,2024-10-09T00:09:51.005Z,"96 km SW of Panguna, Papua New Guinea",earthquake,10.18,6.734,0.093,34.0,reviewed,us,us
571,2024-10-08T22:48:04.711Z,45.4584,27.1216,10.0,4.4,mb,43.0,43.0,0.829,1.0,us,us6000nxes,2024-10-21T21:04:45.651Z,"2 km NW of Voetin, Romania",earthquake,2.3,1.914,0.178,9.0,reviewed,us,us
574,2024-10-08T20:25:44.522Z,10.4233,-86.2383,10.0,4.8,mb,103.0,202.0,0.895,0.75,us,us6000nxe5,2024-10-12T18:52:27.075Z,"45 km WNW of Tamarindo, Costa Rica",earthquake,6.17,1.946,0.05,126.0,reviewed,us,us
575,2024-10-08T19:23:10.510Z,18.6055,-68.9868,129.0,4.05,md,23.0,154.0,0.6123,0.69,pr,pr2024282000,2024-10-09T16:20:44.005Z,"2 km NNW of Guaymate, Dominican Republic",earthquake,3.05,1.75,0.25,10.0,reviewed,pr,pr
576,2024-10-08T19:22:17.947Z,-11.2865,161.663,10.0,4.6,mb,39.0,134.0,2.494,0.67,us,us6000nxgz,2024-10-09T16:17:22.005Z,"96 km SSW of Kirakira, Solomon Islands",earthquake,10.71,1.919,0.092,35.0,reviewed,us,us
577,2024-10-08T17:37:43.910Z,-6.7692,130.5191,96.085,4.4,mb,38.0,73.0,2.314,0.84,us,us6000nxcv,2024-10-15T14:17:04.040Z,"277 km WSW of Tual, Indonesia",earthquake,3.99,7.296,0.098,30.0,reviewed,us,us
579,2024-10-08T16:27:34.523Z,40.4047,-126.3645,11.192,4.3,mwr,79.0,240.0,1.713,1.05,us,us6000nxcd,2024-10-15T07:20:37.587Z,"179 km W of Ferndale, California",earthquake,9.53,11.772,0.037,69.0,reviewed,us,us
580,2024-10-08T14:12:09.963Z,-7.5359,106.6386,49.205,4.8,mb,91.0,51.0,1.005,1.25,us,us6000nxa0,2024-10-17T10:43:18.492Z,"61 km S of Pelabuhanratu, Indonesia",earthquake,7.01,6.648,0.061,90.0,reviewed,us,us
583,2024-10-08T12:51:37.839Z,-21.2007,-67.7548,162.874,4.6,mb,60.0,45.0,1.506,0.74,us,us6000nx9j,2024-10-08T13:11:25.040Z,"51 km E of Ollagüe, Chile",earthquake,3.34,6.83,0.04,188.0,reviewed,us,us
584,2024-10-08T11:50:32.952Z,67.5765,-19.0398,10.0,4.4,mb,21.0,86.0,2.989,0.75,us,us6000nx9i,2024-10-09T09:18:45.005Z,"158 km N of Siglufjörður, Iceland",earthquake,7.47,1.839,0.126,18.0,reviewed,us,us
585,2024-10-08T10:38:44.341Z,-5.7382,107.4531,313.956,4.8,mb,92.0,59.0,1.724,0.71,us,us6000nx8z,2024-10-08T11:01:28.040Z,"49 km NNE of Rengasdengklok, Indonesia",earthquake,7.88,5.268,0.059,89.0,reviewed,us,us
589,2024-10-08T09:07:42.977Z,-33.8625,-177.5999,10.0,4.7,mb,21.0,172.0,4.594,0.4,us,us6000nx8m,2024-10-08T09:53:26.040Z,south of the Kermadec Islands,earthquake,15.19,1.974,0.134,18.0,reviewed,us,us
590,2024-10-08T08:07:25.759Z,-33.7344,-178.5654,18.874,4.9,mb,31.0,122.0,4.493,0.97,us,us6000nx8f,2024-10-08T08:56:12.040Z,south of the Kermadec Islands,earthquake,10.09,5.08,0.187,18.0,reviewed,us,us
594,2024-10-08T04:21:53.257Z,-14.2936,-72.8298,114.295,4.3,mb,15.0,115.0,4.531,0.92,us,us6000nx7t,2024-10-08T22:24:03.005Z,"8 km NE of Huaquirca, Peru",earthquake,5.68,12.575,0.137,15.0,reviewed,us,us
595,2024-10-08T01:28:29.194Z,2.3297,126.9413,35.0,4.7,mb,38.0,79.0,1.605,0.61,us,us6000nx76,2024-10-08T02:14:38.040Z,"136 km WNW of Tobelo, Indonesia",earthquake,8.66,1.909,0.096,33.0,reviewed,us,us
596,2024-10-08T01:27:18.634Z,-33.4367,-178.3861,10.0,4.8,mb,46.0,191.0,4.181,0.53,us,us6000nx73,2024-10-08T21:59:11.005Z,south of the Kermadec Islands,earthquake,15.88,1.941,0.139,16.0,reviewed,us,us
597,2024-10-08T01:23:11.619Z,-6.9792,126.4789,406.845,4.4,mb,23.0,52.0,4.192,0.64,us,us6000nx70,2024-10-08T02:20:57.040Z,"165 km N of Baukau, Timor Leste",earthquake,8.17,9.34,0.123,19.0,reviewed,us,us
598,2024-10-08T00:35:35.838Z,-36.2784,-99.2002,10.0,5.7,mww,86.0,63.0,12.548,0.85,us,us6000nx6t,2024-10-09T13:39:36.005Z,southeast of Easter Island,earthquake,12.12,1.878,0.052,36.0,reviewed,us,us
599,2024-10-07T23:59:04.806Z,-33.4979,-178.5577,10.0,5.8,mww,57.0,70.0,4.258,1.44,us,us6000nx6d,2024-10-09T00:02:35.545Z,south of the Kermadec Islands,earthquake,9.29,1.862,0.071,19.0,reviewed,us,us
604,2024-10-07T21:06:57.038Z,51.2824,-176.2315,47.23,4.4,mb,69.0,151.0,0.664,0.62,us,us6000nx5b,2024-10-08T01:21:37.706Z,"71 km SSE of Adak, Alaska",earthquake,5.2,7.227,0.064,71.0,reviewed,us,us
606,2024-10-07T20:20:25.870Z,7.3985,126.1923,10.0,4.9,mb,35.0,107.0,0.691,0.46,us,us6000nx4s,2024-10-08T10:43:01.651Z,"23 km SSE of Bantacan, Philippines",earthquake,9.29,1.874,0.114,24.0,reviewed,us,us
608,2024-10-07T17:46:52.832Z,21.5665,143.0017,311.915,4.2,mb,50.0,99.0,5.555,0.55,us,us6000nx40,2024-10-07T18:08:16.005Z,Mariana Islands region,earthquake,10.91,8.286,0.084,40.0,reviewed,us,us
610,2024-10-07T12:21:29.995Z,10.7725,-62.8594,105.585,5.0,mb,54.0,83.0,1.795,0.84,us,us6000nx1y,2024-10-07T17:54:15.036Z,"22 km N of Yaguaraparo, Venezuela",earthquake,9.48,7.326,0.027,447.0,reviewed,us,us
611,2024-10-07T12:13:09.376Z,-22.3116,-68.0412,185.627,4.1,ml,17.0,150.0,1.226,0.41,us,us6000nx1w,2024-10-08T05:44:38.040Z,"68 km NNE of San Pedro de Atacama, Chile",earthquake,9.62,6.633,,,reviewed,us,guc
614,2024-10-07T09:36:58.060Z,-19.5916,169.0501,139.233,5.5,mww,54.0,86.0,3.358,0.73,us,us6000nx1e,2024-10-09T13:44:51.005Z,"24 km WSW of Isangel, Vanuatu",earthquake,10.13,6.724,0.066,22.0,reviewed,us,us
615,2024-10-07T08:33:18.524Z,34.7421,24.8803,10.0,4.3,mb,51.0,229.0,0.545,0.47,us,us6000nx18,2024-10-08T07:52:42.040Z,"34 km S of Moíres, Greece",earthquake,5.48,1.918,0.09,35.0,reviewed,us,us
619,2024-10-07T06:54:30.555Z,45.228,-112.4741,15.206,4.1,mwr,97.0,35.0,0.16,0.61,us,us6000nx10,2024-10-23T13:48:34.846Z,"12 km E of Dillon, Montana",earthquake,1.89,5.31,0.035,80.0,reviewed,us,us
621,2024-10-07T06:18:46.515Z,38.2858,23.2711,10.0,4.7,mww,144.0,38.0,1.037,0.62,us,us6000nx0u,2024-10-14T10:59:34.446Z,"6 km SW of Thívai, Greece",earthquake,5.36,1.845,0.069,20.0,reviewed,us,us
622,2024-10-07T05:54:58.640Z,34.8624,26.2324,10.0,4.8,mb,101.0,149.0,1.18,0.41,us,us6000nx0t,2024-10-07T08:11:37.005Z,"37 km S of Palekastro, Greece",earthquake,5.65,1.734,0.056,97.0,reviewed,us,us
